question,answer
"Look at this series: 123, 61, 30, 15, ... What number should come next?",D
"Look at this series: 2, 4, 6, 8, ... What number should come next?",B
"Look at this series: 75, 63, 51, 39, ... What number should come next?",B
"Look at this series: 1.1, 1.6, 2.1, 2.6, ... What number should come next?",A
"Look at this series: 5, 8, 11, 14, ... What number should come next?",B
"Look at this series: 1, 7, 13, 19, ... What number should come next?",D
"Look at this series: -3, -6, -9, -12, ... What number should come next?",B
"Look at this series: 1, 3, 9, 27, ... What number should come next?",B
"Look at this series: 91, 78, 65, 52, ... What number should come next?",C
"Look at this series: 4.0, 4.7, 5.4, 6.1, ... What number should come next?",C
"Look at this series: 4.7, 5.9, 7.1, 8.3, ... What number should come next?",D
"Look at this series: 5, 20, 80, 320, ... What number should come next?",C
"Look at this series: -1, -5, -9, -13, ... What number should come next?",C
"Look at this series: 4, 5, 6, 7, ... What number should come next?",B
"Look at this series: 6, 0, 1, 2, ... What number should come next?",D
"Look at this series: -6, -12, -18, -24, ... What number should come next?",C
"Look at this series: 4.3, 4.7, 5.1, 5.5, ... What number should come next?",A
"Look at this series: -3, -10, -17, -24, ... What number should come next?",C
"Look at this series: 96, 81, 66, 51, ... What number should come next?",D
"Look at this series: 15, 23, 31, 39, ... What number should come next?",A
"Look at this series: -18, -24, -30, -36, ... What number should come next?",A
"Look at this series: 0.5, 1.8, 3.1, 4.4, ... What number should come next?",B
"Look at this series: 185, 46, 11, 2, ... What number should come next?",D
"Look at this series: 95, 88, 81, 74, ... What number should come next?",A
"Look at this series: 81, 72, 63, 54, ... What number should come next?",A
"Look at this series: 112, 22, 4, 0, ... What number should come next?",D
"Look at this series: 115, 38, 12, 4, ... What number should come next?",C
"Look at this series: -15, -21, -27, -33, ... What number should come next?",D
"Look at this series: 15, 18, 21, 24, ... What number should come next?",C
"Look at this series: 158, 39, 9, 2, ... What number should come next?",B
"Look at this series: 67, 53, 39, 25, ... What number should come next?",C
"Look at this series: -3, -7, -11, -15, ... What number should come next?",C
"Look at this series: 96, 89, 82, 75, ... What number should come next?",B
"Look at this series: 3, 10, 17, 24, ... What number should come next?",B
"Look at this series: 8, 0, 1, 2, ... What number should come next?",A
"Look at this series: 152, 38, 9, 2, ... What number should come next?",A
"Look at this series: 13, 21, 29, 37, ... What number should come next?",B
"Look at this series: 10, 16, 22, 28, ... What number should come next?",B
"Look at this series: 3, 15, 75, 375, ... What number should come next?",A
"Look at this series: -4, -14, -24, -34, ... What number should come next?",A
"Look at this series: 27, 81, 243, 729, ... What number should come next?",A
"Look at this series: 93, 78, 63, 48, ... What number should come next?",C
"Look at this series: 1.1, 1.9, 2.7, 3.5, ... What number should come next?",A
"Look at this series: 156, 52, 17, 5, ... What number should come next?",C
"Look at this series: 4, 12, 36, 108, ... What number should come next?",D
"Look at this series: 1, 2, 4, 8, ... What number should come next?",C
"Look at this series: 88, 76, 64, 52, ... What number should come next?",A
"Look at this series: 4, 9, 14, 19, ... What number should come next?",B
"Look at this series: 71, 64, 57, 50, ... What number should come next?",A
"Look at this series: 65, 53, 41, 29, ... What number should come next?",C
"Look at this series: 72, 60, 48, 36, ... What number should come next?",D
"Look at this series: 72, 67, 62, 57, ... What number should come next?",D
"Look at this series: 94, 79, 64, 49, ... What number should come next?",D
"Look at this series: 3, 6, 9, 12, ... What number should come next?",B
"Look at this series: 4, 8, 16, 32, ... What number should come next?",A
"Look at this series: 4.7, 6.1, 7.5, 8.9, ... What number should come next?",A
"Look at this series: 119, 23, 4, 0, ... What number should come next?",A
"Look at this series: 2, 10, 50, 250, ... What number should come next?",C
"Look at this series: 69, 61, 53, 45, ... What number should come next?",B
"Look at this series: 188, 62, 20, 6, ... What number should come next?",A
"Look at this series: 2, 6, 18, 54, ... What number should come next?",D
"Look at this series: 4, 5, 6, 0, ... What number should come next?",D
"Look at this series: 100, 20, 4, 0, ... What number should come next?",A
"Look at this series: 157, 52, 17, 5, ... What number should come next?",D
"Look at this series: 198, 99, 49, 24, ... What number should come next?",A
"Look at this series: 79, 71, 63, 55, ... What number should come next?",C
"Look at this series: -18, -23, -28, -33, ... What number should come next?",C
"Look at this series: -7, -17, -27, -37, ... What number should come next?",C
"Look at this series: -14, -23, -32, -41, ... What number should come next?",A
"Look at this series: 5, 25, 125, 625, ... What number should come next?",D
"Look at this series: 2.7, 3.6, 4.5, 5.4, ... What number should come next?",C
"Look at this series: 100, 93, 86, 79, ... What number should come next?",B
"Look at this series: 4.4, 5.7, 7.0, 8.3, ... What number should come next?",D
"Look at this series: 54, 42, 30, 18, ... What number should come next?",C
"Look at this series: 16, 25, 34, 43, ... What number should come next?",A
"Look at this series: -4, -8, -12, -16, ... What number should come next?",B
"Look at this series: 86, 72, 58, 44, ... What number should come next?",C
"Look at this series: 2.4, 3.3, 4.2, 5.1, ... What number should come next?",D
"Look at this series: 3, 12, 48, 192, ... What number should come next?",C
"Look at this series: 19, 23, 27, 31, ... What number should come next?",D
"Look at this series: 123, 41, 13, 4, ... What number should come next?",C
"Look at this series: 130, 43, 14, 4, ... What number should come next?",C
"Look at this series: 2.3, 3.9, 5.5, 7.1, ... What number should come next?",C
"Look at this series: -19, -26, -33, -40, ... What number should come next?",B
"Look at this series: 20, 21, 22, 23, ... What number should come next?",A
"Look at this series: 20, 22, 24, 26, ... What number should come next?",B
"Look at this series: 119, 59, 29, 14, ... What number should come next?",C
"Look at this series: 5, 10, 20, 40, ... What number should come next?",A
"Look at this series: 120, 24, 4, 0, ... What number should come next?",D
"Look at this series: 99, 89, 79, 69, ... What number should come next?",D
"Look at this series: -13, -22, -31, -40, ... What number should come next?",C
"Look at this series: 6, 13, 20, 27, ... What number should come next?",B
"Look at this series: -12, -21, -30, -39, ... What number should come next?",A
"Look at this series: 65, 51, 37, 23, ... What number should come next?",B
"Look at this series: 3, 4, 5, 0, ... What number should come next?",A
"Look at this series: 78, 73, 68, 63, ... What number should come next?",A
"Look at this series: -17, -18, -19, -20, ... What number should come next?",C
"Look at this series: 3.7, 4.7, 5.7, 6.7, ... What number should come next?",D
"Look at this series: 53, 44, 35, 26, ... What number should come next?",C
"Look at this series: 122, 24, 4, 0, ... What number should come next?",B
"Look at this series: 169, 84, 42, 21, ... What number should come next?",B
"Look at this series: 2.1, 3.7, 5.3, 6.9, ... What number should come next?",A
"Look at this series: 5, 12, 19, 26, ... What number should come next?",D
"Look at this series: 2.3, 3.8, 5.3, 6.8, ... What number should come next?",D
"Look at this series: 69, 63, 57, 51, ... What number should come next?",B
"Look at this series: 4.7, 6.3, 7.9, 9.5, ... What number should come next?",D
"Look at this series: 1, 8, 15, 22, ... What number should come next?",A
"Look at this series: 5.0, 5.3, 5.6, 5.9, ... What number should come next?",D
"Look at this series: 66, 57, 48, 39, ... What number should come next?",A
"Look at this series: -18, -19, -20, -21, ... What number should come next?",D
"Look at this series: 54, 44, 34, 24, ... What number should come next?",D
"Look at this series: 78, 72, 66, 60, ... What number should come next?",B
"Look at this series: 1.7, 2.3, 2.9, 3.5, ... What number should come next?",B
"Look at this series: 82, 74, 66, 58, ... What number should come next?",D
"Look at this series: 126, 42, 14, 4, ... What number should come next?",A
"Look at this series: 16, 26, 36, 46, ... What number should come next?",A
"Look at this series: 11, 13, 15, 17, ... What number should come next?",B
"Look at this series: 1, 3, 5, 7, ... What number should come next?",C
"Look at this series: -7, -9, -11, -13, ... What number should come next?",B
"Look at this series: 85, 80, 75, 70, ... What number should come next?",B
"Look at this series: 12, 15, 18, 21, ... What number should come next?",C
"Look at this series: 12, 20, 28, 36, ... What number should come next?",C
"Look at this series: 74, 61, 48, 35, ... What number should come next?",B
"Look at this series: -11, -16, -21, -26, ... What number should come next?",B
"Look at this series: 3, 6, 12, 24, ... What number should come next?",A
"Look at this series: 124, 41, 13, 4, ... What number should come next?",C
"Look at this series: 3.9, 5.1, 6.3, 7.5, ... What number should come next?",A
"Look at this series: 153, 30, 6, 1, ... What number should come next?",D
"Look at this series: 102, 20, 4, 0, ... What number should come next?",A
"Look at this series: 93, 82, 71, 60, ... What number should come next?",B
"Look at this series: 2, 11, 20, 29, ... What number should come next?",D
"Look at this series: 148, 49, 16, 5, ... What number should come next?",B
"Look at this series: 90, 82, 74, 66, ... What number should come next?",B
"Look at this series: 3, 4, 0, 1, ... What number should come next?",A
"Look at this series: 135, 27, 5, 1, ... What number should come next?",C
"Look at this series: -12, -17, -22, -27, ... What number should come next?",A
"Look at this series: 66, 53, 40, 27, ... What number should come next?",A
"Look at this series: 4.4, 5.9, 7.4, 8.9, ... What number should come next?",A
"Look at this series: 81, 75, 69, 63, ... What number should come next?",C
"Look at this series: 4, 0, 1, 2, ... What number should come next?",A
"Look at this series: 142, 71, 35, 17, ... What number should come next?",C
"Look at this series: -15, -25, -35, -45, ... What number should come next?",D
"Look at this series: 4.4, 4.7, 5.0, 5.3, ... What number should come next?",A
"Look at this series: 1.2, 1.9, 2.6, 3.3, ... What number should come next?",C
"Look at this series: 74, 63, 52, 41, ... What number should come next?",A
"Look at this series: 166, 33, 6, 1, ... What number should come next?",A
"Look at this series: 143, 35, 8, 2, ... What number should come next?",A
"Look at this series: -10, -14, -18, -22, ... What number should come next?",D
"Look at this series: 99, 94, 89, 84, ... What number should come next?",C
"Look at this series: 9, 18, 27, 36, ... What number should come next?",A
"Look at this series: -9, -10, -11, -12, ... What number should come next?",C
"Look at this series: 0.8, 2.1, 3.4, 4.7, ... What number should come next?",C
"Look at this series: 13, 17, 21, 25, ... What number should come next?",C
"Look at this series: 3.3, 4.7, 6.1, 7.5, ... What number should come next?",A
"Look at this series: 2, 3, 4, 0, ... What number should come next?",C
"Look at this series: 2.6, 3.5, 4.4, 5.3, ... What number should come next?",B
"Look at this series: -17, -20, -23, -26, ... What number should come next?",A
"Look at this series: 7, 0, 1, 2, ... What number should come next?",A
"Look at this series: 146, 29, 5, 1, ... What number should come next?",C
"Look at this series: 16, 20, 24, 28, ... What number should come next?",D
"Look at this series: 100, 86, 72, 58, ... What number should come next?",A
"Look at this series: 86, 75, 64, 53, ... What number should come next?",A
"Look at this series: 164, 41, 10, 2, ... What number should come next?",B
"Look at this series: 2, 3, 4, 0, ... What number should come next?",A
"Look at this series: 3, 11, 19, 27, ... What number should come next?",A
"Look at this series: 0.6, 2.2, 3.8, 5.4, ... What number should come next?",D
"Look at this series: 195, 97, 48, 24, ... What number should come next?",D
"Look at this series: 0.2, 1.5, 2.8, 4.1, ... What number should come next?",C
"Look at this series: -12, -22, -32, -42, ... What number should come next?",B
"Look at this series: 94, 83, 72, 61, ... What number should come next?",C
"Look at this series: 5, 6, 7, 8, ... What number should come next?",B
"Look at this series: 3.9, 5.5, 7.1, 8.7, ... What number should come next?",A
"Look at this series: 76, 66, 56, 46, ... What number should come next?",C
"Look at this series: 100, 50, 25, 12, ... What number should come next?",B
"Look at this series: 158, 52, 17, 5, ... What number should come next?",C
"Look at this series: 62, 53, 44, 35, ... What number should come next?",C
"Look at this series: 3.0, 4.3, 5.6, 6.9, ... What number should come next?",A
"Look at this series: 11, 20, 29, 38, ... What number should come next?",B
"Look at this series: 11, 21, 31, 41, ... What number should come next?",B
"Look at this series: 16, 18, 20, 22, ... What number should come next?",D
"Look at this series: 1.4, 2.2, 3.0, 3.8, ... What number should come next?",A
"Look at this series: 60, 50, 40, 30, ... What number should come next?",A
"Look at this series: -10, -20, -30, -40, ... What number should come next?",B
"Look at this series: -10, -12, -14, -16, ... What number should come next?",C
"Look at this series: 0.6, 2.2, 3.8, 5.4, ... What number should come next?",C
"Look at this series: -14, -21, -28, -35, ... What number should come next?",C
"Look at this series: 15, 22, 29, 36, ... What number should come next?",B
"Look at this series: 98, 85, 72, 59, ... What number should come next?",A
"Look at this series: 168, 56, 18, 6, ... What number should come next?",D
"Look at this series: -4, -13, -22, -31, ... What number should come next?",C
"Look at this series: 134, 67, 33, 16, ... What number should come next?",D
"Look at this series: -11, -17, -23, -29, ... What number should come next?",C
"Look at this series: 0.9, 2.5, 4.1, 5.7, ... What number should come next?",C
"Look at this series: 4, 7, 10, 13, ... What number should come next?",C
"Look at this series: 2.8, 3.2, 3.6, 4.0, ... What number should come next?",D
"Look at this series: 100, 25, 6, 1, ... What number should come next?",D
"Look at this series: -7, -10, -13, -16, ... What number should come next?",D
"Look at this series: 0.4, 1.5, 2.6, 3.7, ... What number should come next?",A
"Look at this series: 4.4, 5.5, 6.6, 7.7, ... What number should come next?",B
"Look at this series: 2, 12, 22, 32, ... What number should come next?",D
"Look at this series: 95, 83, 71, 59, ... What number should come next?",A
"Look at this series: 3.4, 5.0, 6.6, 8.2, ... What number should come next?",C
"Look at this series: 4, 20, 100, 500, ... What number should come next?",B
"Look at this series: 4, 5, 0, 1, ... What number should come next?",C
"Look at this series: 58, 50, 42, 34, ... What number should come next?",A
"Look at this series: 57, 43, 29, 15, ... What number should come next?",D
"Look at this series: 20, 30, 40, 50, ... What number should come next?",A
"Look at this series: 166, 83, 41, 20, ... What number should come next?",B
"Look at this series: 122, 61, 30, 15, ... What number should come next?",B
"Look at this series: -9, -14, -19, -24, ... What number should come next?",C
"Look at this series: 20, 25, 30, 35, ... What number should come next?",A
"Look at this series: -7, -14, -21, -28, ... What number should come next?",A
"Look at this series: -16, -23, -30, -37, ... What number should come next?",D
"Look at this series: 181, 45, 11, 2, ... What number should come next?",A
"Look at this series: 154, 30, 6, 1, ... What number should come next?",A
"Look at this series: 75, 65, 55, 45, ... What number should come next?",B
"Look at this series: 0.8, 2.6, 4.4, 6.2, ... What number should come next?",D
"Look at this series: -8, -18, -28, -38, ... What number should come next?",C
